source,symbol,base_asset,quote_asset,price,volume_24h,market_cap,rank,timestamp,raw_symbol,canonical_symbol,exchange,extra_metadata
coinmarketcap,FLR,FLR,USD,0.007736157595785185,3872927.63784798,661145236.62,67,2026-03-31 13:33:59.686346+00:00,flare,FLR,,"{""name"": ""Flare"", ""circulating_supply"": 85461707370.10262, ""percent_change_24h"": -1.54536059}"
coinmarketcap,DEXE,DEXE,USD,7.8447474625393285,16715593.54856415,656869583.22,68,2026-03-31 13:33:59.686346+00:00,dexe,DEXE,,"{""name"": ""DeXe"", ""circulating_supply"": 83733681.21267147, ""percent_change_24h"": 1.08336944}"
coinmarketcap,FIL,FIL,USD,0.8264514938038742,87020070.38378541,632814979.89,69,2026-03-31 13:33:59.686346+00:00,filecoin,FIL,,"{""name"": ""Filecoin"", ""circulating_supply"": 765701296.0, ""percent_change_24h"": -1.88411863}"
coinmarketcap,XDC,XDC,USD,0.030773906222764193,18862802.42574554,613670076.04,70,2026-03-31 13:33:59.686346+00:00,xdc-network,XDC,,"{""name"": ""XDC Network"", ""circulating_supply"": 19941247354.17, ""percent_change_24h"": -2.51674968}"
coinmarketcap,MORPHO,MORPHO,USD,1.478352104339893,9302009.19067098,598627015.67,71,2026-03-31 13:33:59.686346+00:00,morpho,MORPHO,,"{""name"": ""Morpho"", ""circulating_supply"": 404928578.1884022, ""percent_change_24h"": -3.58594566}"
coinmarketcap,ZRO,ZRO,USD,1.8486579106906524,36774510.21052855,578702028.78,72,2026-03-31 13:33:59.686346+00:00,layerzero,ZRO,,"{""name"": ""LayerZero"", ""circulating_supply"": 313039002.74397427, ""percent_change_24h"": -8.67326388}"
coinmarketcap,VET,VET,USD,0.006655688660832219,17603253.05073623,572289663.56,73,2026-03-31 13:33:59.686346+00:00,vechain,VET,,"{""name"": ""VeChain"", ""circulating_supply"": 85985041177.0, ""percent_change_24h"": -2.25492918}"
coinmarketcap,NEXO,NEXO,USD,0.8757400182425213,6572877.45940903,565855769.34,74,2026-03-31 13:33:59.686346+00:00,nexo,NEXO,,"{""name"": ""Nexo"", ""circulating_supply"": 646145839.5746847, ""percent_change_24h"": -2.43307772}"
coinmarketcap,ARB,ARB,USD,0.09251502314516978,56774378.87918407,558866985.59,75,2026-03-31 13:33:59.686346+00:00,arbitrum,ARB,,"{""name"": ""Arbitrum"", ""circulating_supply"": 6040824145.0, ""percent_change_24h"": -0.99436991}"
coinmarketcap,JST,JST,USD,0.06178016345304409,28161065.19252903,544598818.68,76,2026-03-31 13:33:59.686346+00:00,just,JST,,"{""name"": ""JUST"", ""circulating_supply"": 8815108090.312735, ""percent_change_24h"": 3.69895445}"
coinmarketcap,JUP,JUP,USD,0.15310631565456706,25010287.42965049,543655377.54,78,2026-03-31 13:33:59.686346+00:00,jupiter-ag,JUP,,"{""name"": ""Jupiter"", ""circulating_supply"": 3550835739.32, ""percent_change_24h"": -0.82175418}"
coinmarketcap,PUMP,PUMP,USD,0.0016370634064129183,64294310.62054022,543663242.2,77,2026-03-31 13:33:59.686346+00:00,pump-fun,PUMP,,"{""name"": ""Pump.fun"", ""circulating_supply"": 332096631123.1358, ""percent_change_24h"": -4.51848053}"
coinmarketcap,FET,FET,USD,0.22833592975801673,131540573.0488766,515665004.03,79,2026-03-31 13:33:59.686346+00:00,artificial-superintelligence-alliance,FET,,"{""name"": ""Artificial Superintelligence Alliance"", ""circulating_supply"": 2258361198.679096, ""percent_change_24h"": -6.16211633}"
coinmarketcap,BONK,BONK,USD,5.775820378887114e-06,39777358.81646967,508241841.66,80,2026-03-31 13:33:59.686346+00:00,bonk1,BONK,,"{""name"": ""Bonk"", ""circulating_supply"": 87994745044169.2, ""percent_change_24h"": -2.05934757}"
coinmarketcap,STABLE,STABLE,USD,0.023608089606381322,15668916.42572583,504353802.54,81,2026-03-31 13:33:59.686346+00:00,stable,STABLE,,"{""name"": ""Stable"", ""circulating_supply"": 21363600823.0, ""percent_change_24h"": -4.13026604}"
coinmarketcap,TUSD,TUSD,USD,0.9980467284400533,12791180.32691881,493549160.75,82,2026-03-31 13:33:59.686346+00:00,trueusd,TUSD,,"{""name"": ""TrueUSD"", ""circulating_supply"": 494515083.0, ""percent_change_24h"": 0.02068729}"
coinmarketcap,CAKE,CAKE,USD,1.3710136097949386,27198489.85388604,450445248.16,83,2026-03-31 13:33:59.686346+00:00,pancakeswap,CAKE,,"{""name"": ""PancakeSwap"", ""circulating_supply"": 328549071.242276, ""percent_change_24h"": -2.56403524}"
coinmarketcap,CHZ,CHZ,USD,0.042631161960565586,83706168.75092396,438449691.59,84,2026-03-31 13:33:59.686346+00:00,chiliz,CHZ,,"{""name"": ""Chiliz"", ""circulating_supply"": 10284722992.0, ""percent_change_24h"": -1.08425937}"
coinmarketcap,VIRTUAL,VIRTUAL,USD,0.6428509889406996,52918024.56963497,421904370.67,85,2026-03-31 13:33:59.686346+00:00,virtual-protocol,VIRTUAL,,"{""name"": ""Virtuals Protocol"", ""circulating_supply"": 656301970.3333926, ""percent_change_24h"": -4.20076682}"
coinmarketcap,EURC,EURC,USD,1.1512424068460072,53302462.16461312,418357098.68,86,2026-03-31 13:33:59.686346+00:00,euro-coin,EURC,,"{""name"": ""EURC"", ""circulating_supply"": 363396185.0192071, ""percent_change_24h"": 0.24592276}"
coinmarketcap,DASH,DASH,USD,33.02047905858169,66699072.04898553,417648609.04,87,2026-03-31 13:33:59.686346+00:00,dash,DASH,,"{""name"": ""Dash"", ""circulating_supply"": 12648169.28596839, ""percent_change_24h"": 1.33782005}"
coinmarketcap,PENGU,PENGU,USD,0.006372962239741234,66892732.15677328,400606930.66,88,2026-03-31 13:33:59.686346+00:00,pudgy-penguins,PENGU,,"{""name"": ""Pudgy Penguins"", ""circulating_supply"": 62860396090.04, ""percent_change_24h"": -2.72152435}"
coinmarketcap,STX,STX,USD,0.21904713032417636,7295179.04339787,397484190.57,89,2026-03-31 13:33:59.686346+00:00,stacks,STX,,"{""name"": ""Stacks"", ""circulating_supply"": 1814605788.19049, ""percent_change_24h"": -2.03263116}"
coinmarketcap,FDUSD,FDUSD,USD,0.9985190566558406,231848569.84618205,393680825.59,90,2026-03-31 13:33:59.686346+00:00,first-digital-usd,FDUSD,,"{""name"": ""First Digital USD"", ""circulating_supply"": 394264709.282202, ""percent_change_24h"": -0.03063111}"
coinmarketcap,XTZ,XTZ,USD,0.34856949102083784,15536531.33074972,376518714.11,91,2026-03-31 13:33:59.686346+00:00,tezos,XTZ,,"{""name"": ""Tezos"", ""circulating_supply"": 1080182643.077296, ""percent_change_24h"": -0.22947875}"
coinmarketcap,ETHFI,ETHFI,USD,0.46930352510487944,26913283.41701052,369466063.7,92,2026-03-31 13:33:59.686346+00:00,ether-fi-ethfi,ETHFI,,"{""name"": ""ether.fi"", ""circulating_supply"": 787264625.0, ""percent_change_24h"": -0.59181609}"
coinmarketcap,DCR,DCR,USD,20.858985605445984,3066900.24381422,361865415.54,93,2026-03-31 13:33:59.686346+00:00,decred,DCR,,"{""name"": ""Decred"", ""circulating_supply"": 17348178.97609258, ""percent_change_24h"": -1.28159841}"
coinmarketcap,SUN,SUN,USD,0.01786270063095484,121260230.22195855,343427719.45,94,2026-03-31 13:33:59.686346+00:00,sun-token,SUN,,"{""name"": ""Sun [New]"", ""circulating_supply"": 19225968488.25119, ""percent_change_24h"": 2.08954163}"
coinmarketcap,SEI,SEI,USD,0.04989734184574088,40372098.96059996,342018557.58,95,2026-03-31 13:33:59.686346+00:00,sei,SEI,,"{""name"": ""Sei"", ""circulating_supply"": 6854444444.0, ""percent_change_24h"": -6.89472611}"
coinmarketcap,RIVER,RIVER,USD,17.204522109937045,44971084.61507842,337208633.35,96,2026-03-31 13:33:59.686346+00:00,river,RIVER,,"{""name"": ""River"", ""circulating_supply"": 19600000.0, ""percent_change_24h"": 23.45711033}"
coinmarketcap,GNO,GNO,USD,122.36202194497228,4161709.05882085,322948687.99,97,2026-03-31 13:33:59.686346+00:00,gnosis-gno,GNO,,"{""name"": ""Gnosis"", ""circulating_supply"": 2639288.58690742, ""percent_change_24h"": 0.38158068}"
coinmarketcap,NFT,NFT,USD,3.2582139303063423e-07,11058685.79784193,322597583.55,98,2026-03-31 13:33:59.686346+00:00,apenft,NFT,,"{""name"": ""AINFT"", ""circulating_supply"": 990105592982874.8, ""percent_change_24h"": -0.42481624}"
coinmarketcap,CRV,CRV,USD,0.2125116432813537,46719534.95680217,314872059.03,99,2026-03-31 13:33:59.686346+00:00,curve-dao-token,CRV,,"{""name"": ""Curve DAO Token"", ""circulating_supply"": 1481669682.5259194, ""percent_change_24h"": -3.66699929}"
coinmarketcap,BTT,BTT,USD,3.1509632492523274e-07,8667688.09185157,311012010.39,100,2026-03-31 13:33:59.686346+00:00,bittorrent-new,BTT,,"{""name"": ""BitTorrent [New]"", ""circulating_supply"": 987037885840674.8, ""percent_change_24h"": -0.95064781}"
